interface,src_ip,proto,status,vrf,address,age,cpu,flag,mac,state,type
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.24,00:04:46,0/1/CPU0,Dynamic,7085.40ab.e748,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.26,00:04:46,0/1/CPU0,Dynamic,6c2c.dc00.3859,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.27,03:24:35,0/1/CPU0,Dynamic,64db.8b87.8464,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.28,00:01:16,0/1/CPU0,Dynamic,6c2c.dc00.3124,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.29,00:00:29,0/1/CPU0,Dynamic,5803.fb01.ad46,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.30,00:02:40,0/1/CPU0,Dynamic,2c18.75a1.aecf,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.33,00:01:58,0/1/CPU0,Dynamic,6c2c.dc00.4304,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.34,00:04:46,0/1/CPU0,Dynamic,2c18.75a1.b6c1,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.37,00:03:36,0/1/CPU0,Dynamic,1411.5d4c.f2ee,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.38,00:00:28,0/1/CPU0,Dynamic,4cb0.0872.82a2,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.39,00:01:58,0/1/CPU0,Dynamic,6c2c.dc00.2837,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.40,00:44:30,0/1/CPU0,Dynamic,9490.34ee.b6b7,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.42,00:00:25,0/1/CPU0,Dynamic,3cef.8c57.0a04,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.43,00:03:43,0/1/CPU0,Dynamic,f44d.3044.ac45,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.48,00:03:22,0/1/CPU0,Dynamic,6c2c.dc00.386f,Dynamic,ARPA
Bundle-Ether5001.501,10.203.230.53,Up,Up,IPR30800_FTTH_NMS,10.203.230.54,00:15:51,0/2/CPU0,Dynamic,48f9.7ce8.c870,Dynamic,ARPA
Bundle-Ether5001.510,10.203.237.53,Up,Up,IPR30012_NGNSIG,10.203.237.54,00:34:04,0/2/CPU0,Dynamic,48f9.7ce8.c870,Dynamic,ARPA
Bundle-Ether5001.515,10.203.245.53,Up,Up,IPR30012_NGNSIG,10.203.245.54,00:01:08,0/2/CPU0,Dynamic,48f9.7ce8.c870,Dynamic,ARPA
Bundle-Ether5002.501,10.203.230.57,Up,Up,IPR30800_FTTH_NMS,10.203.230.58,00:10:21,0/3/CPU0,Dynamic,48f9.7ce8.c8f2,Dynamic,ARPA
