interface,src_ip,proto,status,vrf,address,age,cpu,mac,state,type
Bundle-Ether10003.1119,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1120,10.80.10.34,Up,Up,IPR3013_GOLDARC,,,,,,
Bundle-Ether10003.1121,172.32.15.33,Up,Up,IPR3191_NIPPON,,,,,,
Bundle-Ether10003.1122,172.17.9.102,Up,Up,IPR3135_SECBANK,,,,,,
Bundle-Ether10003.1123,10.213.188.105,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10003.1125,10.229.112.193,Up,Up,IPR3223_SM-SVI,,,,,,
Bundle-Ether10003.1126,10.229.121.237,Up,Up,IPR3200_PURGOLD,,,,,,
Bundle-Ether10003.1127,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1129,10.227.240.193,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10003.1130,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1132,10.229.140.29,Up,Up,IPR3179_GOLDLCS,,,,,,
Bundle-Ether10003.1133,10.228.2.113,Up,Up,IPR5448_PHLHLTH,,,,,,
Bundle-Ether10003.1134,10.229.149.161,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10003.1138,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1139,10.229.115.93,Up,Up,IPR7632_LANDTRANS,,,,,,
Bundle-Ether10003.1140,10.228.151.69,Up,Up,IPR3059_PRULIFE,,,,,,
Bundle-Ether10003.1141,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1142,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1143,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1144,10.204.255.65,Up,Up,IPR3619_NETNFRA,,,,,,
Bundle-Ether10003.1145,10.213.229.41,Up,Up,IPR3115_PNB,,,,,,
Bundle-Ether10003.1146,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1147,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1148,10.47.248.29,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether10003.1149,10.229.178.205,Up,Up,IPR8073_CLADSWD,,,,,,
Bundle-Ether10003.1150,10.229.182.213,Up,Up,IPR3726_ASIANTI,,,,,,
Bundle-Ether10003.1151,10.47.245.125,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether10003.1152,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1153,10.213.229.125,Up,Up,IPR3326_AUBANK,,,,,,
Bundle-Ether10003.1154,10.229.113.45,Up,Up,IPR3220_VETERAN,,,,,,
Bundle-Ether10004.1001,10.226.179.1,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10004.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1026,172.16.45.9,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10004.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1060,10.212.255.201,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10004.1101,10.213.49.81,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1103,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1104,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1105,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1107,10.229.89.5,Up,Up,IPR7476_RBCPI,,,,,,
Bundle-Ether10004.1108,10.229.106.9,Up,Up,IPR7566_JRSBC,,,,,,
Bundle-Ether10004.1111,10.227.134.109,Up,Up,IPR3393_VICSAL,,,,,,
Bundle-Ether10004.1112,172.26.137.138,Up,Up,IPR3172_BDO_NET,,,,,,
Bundle-Ether10004.1113,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1114,10.152.214.82,Up,Up,IPR3023_SUNLIFE,,,,,,
Bundle-Ether10004.1116,10.229.138.45,Up,Up,IPR3867_AVENTUS,,,,,,
Bundle-Ether10004.1117,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1118,10.213.214.161,Up,Up,IPR3926_BPI03,,,,,,
Bundle-Ether10004.1120,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1121,10.229.144.253,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1122,10.229.145.53,Up,Up,IPR3007_BDO,,,,,,
Bundle-Ether10004.1123,10.227.131.245,Up,Up,IPR3926_BPI03,,,,,,
Bundle-Ether10004.1124,10.228.215.77,Up,Up,IPR5270_DMLTB,,,,,,
Bundle-Ether10004.1125,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1128,10.229.149.193,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1129,10.229.150.13,Up,Up,IPR7740_RICOH,,,,,,
Bundle-Ether10004.1130,10.227.240.201,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1131,10.229.150.193,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1132,10.47.240.93,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether10004.1133,10.212.168.197,Up,Up,IPR3182_MEDCARD,,,,,,
Bundle-Ether10004.1134,10.229.160.109,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10004.1135,10.212.124.185,Up,Up,IPR3059_PRULIFE,,,,,,
Bundle-Ether10004.1136,10.229.162.201,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1137,10.229.164.129,Up,Up,IPR3046_INSULAR,,,,,,
Bundle-Ether10004.1138,10.229.164.153,Up,Up,IPR3135_SECBANK,,,,,,
Bundle-Ether10004.1139,10.80.9.182,Up,Up,IPR3013_GOLDARC,,,,,,
Bundle-Ether10004.1140,10.229.160.69,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10004.1141,10.229.166.145,Up,Up,IPR3068_PJLHUIL,,,,,,
Bundle-Ether10004.1142,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1143,10.229.168.225,Up,Up,IPR3115_PNB,,,,,,
Bundle-Ether10004.1144,172.24.189.130,Up,Up,IPR3172_BDO_NET,,,,,,
Bundle-Ether10004.1145,10.229.173.149,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10004.1146,10.229.173.153,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10004.1147,10.212.152.105,Up,Up,IPR3926_BPI03,,,,,,
Bundle-Ether10004.1148,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1149,10.229.176.225,Up,Up,IPR8046_CAVALCI,,,,,,
Bundle-Ether10004.1150,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1153,10.229.183.213,Up,Up,IPR3223_SM-SVI,,,,,,
